"nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"nm0000241","Jean-Claude Van Damme",1960,NA,"actor,writer,producer","tt1130988,tt0097659,tt0101764,tt0119013"
"nm0000242","Mark Wahlberg",1971,NA,"producer,actor,soundtrack","tt0407887,tt0964517,tt1637725,tt0118749"
"nm0000243","Denzel Washington",1954,NA,"actor,producer,soundtrack","tt0168786,tt0139654,tt2671706,tt1037705"
"nm0000244","Sigourney Weaver",1949,NA,"actress,soundtrack,producer","tt0118583,tt0095243,tt0078748,tt0499549"
"nm0000245","Robin Williams",1951,2014,"actor,soundtrack,writer","tt0265459,tt0119217,tt0107614,tt0093105"
"nm0000246","Bruce Willis",1955,NA,"actor,producer,soundtrack","tt0095016,tt0110912,tt0088571,tt0167404"
"nm0000247","John Woo",1946,NA,"director,producer,writer","tt0104684,tt0092263,tt0119094,tt0425637"
"nm0000248","Edward D. Wood Jr.",1924,1978,"writer,director,actor","tt0047127,tt0052077,tt0045826,tt0067479"
"nm0000249","James Woods",1947,NA,"actor,producer,soundtrack","tt0120877,tt0159097,tt0119282,tt0086541"
"nm0000250","Renée Zellweger",1969,NA,"actress,soundtrack,producer","tt0159365,tt0299658,tt0243155,tt0116695"
"nm0000251","Timothy Dowling",1973,NA,"actor,writer,script_department","tt0430922,tt2120120,tt0181852,tt1596350"
"nm0000252","Robert Ellis",1892,1974,"actor,director,writer","tt0030778,tt0010781,tt0006213,tt0032595"
"nm0000253","Robert Ellis",1888,1935,"art_director,miscellaneous","tt0014515,tt0014083,tt0010965,tt0026454"
"nm0000254","Isabelle Adjani",1955,NA,"actress,soundtrack,producer","tt0090095,tt0094828,tt0079641,tt0082933"
"nm0000255","Ben Affleck",1972,NA,"producer,actor,writer","tt0119217,tt0840361,tt2267998,tt1024648"
"nm0000256","Jenny Agutter",1952,NA,"actress,soundtrack","tt0082010,tt0067959,tt0074812,tt0848228"
"nm0000257","Alan Alda",1936,NA,"actor,miscellaneous,soundtrack","tt7653254,tt0068098,tt0082405,tt0097123"
"nm0000258","Stephanie Zimbalist",1956,NA,"actress,writer","tt0080402,tt0083470,tt0076993,tt2224219"
"nm0000259","Ginger Lynn",1962,NA,"actress,director,writer","tt0134898,tt0087562,tt0210365,tt0395584"
"nm0000260","Joan Allen",1956,NA,"actress,producer,soundtrack","tt0113987,tt0115988,tt3170832,tt0452608"
"nm0000261","Karen Allen",1951,NA,"actress,director,soundtrack","tt0082971,tt0077975,tt0088172,tt0367882"
"nm0000262","Nancy Allen",1950,NA,"actress,soundtrack","tt0100502,tt0093870,tt0107978,tt0080661"
"nm0000263","Kirstie Alley",1951,NA,"actress,producer,writer","tt0114852,tt0157503,tt0097778,tt0084726"
"nm0000264","Pedro Almodóvar",1949,NA,"writer,director,soundtrack","tt0095675,tt0287467,tt1189073,tt0101026"
"nm0000265","Robert Altman",1925,2006,"director,producer,writer","tt0108122,tt0073440,tt0280707,tt0105151"
"nm0000266","Ursula Andress",1936,NA,"actress","tt0082186,tt0061452,tt0060177,tt0055928"
"nm0000267","Julie Andrews",1935,NA,"actress,soundtrack,writer","tt0058331,tt0059742,tt0084865,tt0247638"
"nm0000268","Ann-Margret",1941,NA,"actress,soundtrack","tt0056891,tt0066892,tt0107050,tt0060646"
"nm0000269","Jean-Jacques Annaud",1943,NA,"director,producer,writer","tt2909116,tt0091605,tt0120102,tt0215750"
"nm0000270","Gabrielle Anwar",1970,NA,"actress,producer,soundtrack","tt0105323,tt0108333,tt0810788,tt0114660"
"nm0000271","Anne Archer",1947,NA,"actress,producer,soundtrack","tt0108122,tt0160009,tt0105112,tt0093010"
"nm0000272","Fanny Ardant",1949,NA,"actress,director,writer","tt9172422,tt0127536,tt0283832,tt0086551"
"nm0000273","Alan Arkin",1934,NA,"actor,soundtrack,director","tt0099487,tt0104348,tt0449059,tt1024648"
"nm0000274","David Arquette",1971,NA,"producer,actor,director","tt0271367,tt0134084,tt0120082,tt0151738"
"nm0000275","Rosanna Arquette",1959,NA,"actress,director,producer","tt0089017,tt0110912,tt0190138,tt0088680"
"nm0000276","Sean Astin",1971,NA,"actor,producer,director","tt0167261,tt0120737,tt0089218,tt0167260"
"nm0000277","Richard Attenborough",1923,2014,"actor,producer,director","tt0057115,tt0083987,tt0107290,tt0060934"
"nm0000278","Pernilla August",1958,NA,"actress,director,writer","tt0121765,tt0120915,tt0104350,tt1437366"
"nm0000279","Hank Azaria",1964,NA,"actor,soundtrack,producer","tt0132347,tt0096697,tt0115685,tt1839481"
"nm0000280","Catherine Bach",1954,NA,"actress,soundtrack","tt0072288,tt0119025,tt0078607,tt1414382"
"nm0000281","Scott Baio",1960,NA,"actor,director,producer","tt0070992,tt0367279,tt0281680,tt0270846"
"nm0000282","Scott Bairstow",1970,NA,"actor","tt0182587,tt0119925,tt0120512,tt0283084"
"nm0000283","Brenda Bakke",1963,NA,"actress","tt0107144,tt0114608,tt0114781,tt0119488"
"nm0000284","Adam Baldwin",1962,NA,"actor,soundtrack","tt0093058,tt0379786,tt0187393,tt0116629"
"nm0000285","Alec Baldwin",1958,NA,"actor,producer,soundtrack","tt0318374,tt0104348,tt0407887,tt1230414"
"nm0000286","Stephen Baldwin",1966,NA,"actor,producer,director","tt0115683,tt0114814,tt0158622,tt0486583"
"nm0000287","William Baldwin",1963,NA,"actor,producer,stunts","tt0108162,tt0113010,tt0101393,tt0367089"
"nm0000288","Christian Bale",1974,NA,"actor,editorial_department,producer","tt0964517,tt0468569,tt0372784,tt0144084"
"nm0000289","Ellen Barkin",1954,NA,"actress,producer","tt0157503,tt0108330,tt0116277,tt0086856"
"nm0000290","John Barry",1933,2011,"music_department,soundtrack,composer","tt0093428,tt0099348,tt0081534,tt0089755"
"nm0000291","Angela Bassett",1958,NA,"actress,producer,director","tt0118884,tt1825683,tt2302755,tt0114558"
"nm0000292","Michelle Bauer",1958,NA,"actress,miscellaneous,costume_department","tt0181017,tt0094734,tt0103213,tt0094998"
"nm0000293","Sean Bean",1959,NA,"actor,producer,animation_department","tt0120737,tt0167261,tt0944947,tt1181791"
"nm0000294","Amanda Bearse",1958,NA,"actress,director,producer","tt0247121,tt0255132,tt0089175,tt0092400"
"nm0000295","Kate Beckinsale",1973,NA,"actress,producer,soundtrack","tt0452702,tt0401855,tt0338526,tt0320691"
"nm0000296","Robert Beltran",1953,NA,"actor,soundtrack","tt0101516,tt0087799,tt0112178,tt0113987"
"nm0000297","Tom Berenger",1949,NA,"actor,producer,writer","tt0085244,tt0091763,tt0097815,tt1375666"
"nm0000298","Candice Bergen",1946,NA,"actress,producer,soundtrack","tt0901476,tt0256415,tt0212346,tt0094514"
"nm0000299","Michael Biehn",1956,NA,"actor,producer,director","tt0088247,tt0096754,tt1077258,tt0090605"
"nm0000300","Juliette Binoche",1964,NA,"actress,art_department,miscellaneous","tt0241303,tt2452254,tt1219827,tt0116209"
"nm0000301","Thora Birch",1982,NA,"actress,director,producer","tt0169547,tt0107120,tt0162346,tt0105112"
"nm0000302","Jacqueline Bisset",1944,NA,"actress,producer,soundtrack","tt0071877,tt0061452,tt0062765,tt0088322"
"nm0000303","Honor Blackman",1925,2020,"actress,soundtrack","tt0057197,tt0054518,tt0058150,tt0243155"
"nm0000304","Linda Blair",1959,NA,"actress,soundtrack,producer","tt0088044,tt0082511,tt0079822,tt0070047"
"nm0000305","Mel Blanc",1908,1989,"actor,soundtrack,music_department","tt0303804,tt0077278,tt0096438,tt0094939"
"nm0000306","Brian Blessed",1936,NA,"actor,soundtrack,director","tt0120915,tt0120855,tt0080745,tt0107616"
"nm0000307","Helena Bonham Carter",1966,NA,"actress,soundtrack,director","tt1707386,tt0408236,tt1504320,tt0137523"
"nm0000308","Ernest Borgnine",1917,2012,"actor,soundtrack,producer","tt0086662,tt0082340,tt0069113,tt0048356"
"nm0000309","David Bowie",1947,2016,"soundtrack,composer,actor","tt0482571,tt0196229,tt0091369,tt0074851"
"nm0000310","Bruce Boxleitner",1950,NA,"actor,soundtrack,producer","tt0105946,tt0871427,tt1104001,tt0084827"
"nm0000311","Annie Rosar",1888,1963,"actress,soundtrack","tt0034396,tt0034800,tt0041552,tt0052996"
"nm0000312","Amy Brenneman",1964,NA,"actress,producer,writer","tt0866437,tt0116287,tt0209069,tt0113277"
"nm0000313","Jeff Bridges",1949,NA,"actor,soundtrack,producer","tt0118715,tt1403865,tt0088172,tt1263670"
"nm0000314","Charles Bronson",1921,2003,"actor","tt0071402,tt0064116,tt0057115,tt0054047"
"nm0000315","Louise Brooks",1906,1985,"actress,soundtrack","tt0021273,tt0017382,tt0018737,tt0021917"
"nm0000316","Mel Brooks",1926,NA,"actor,writer,soundtrack","tt0082517,tt0395251,tt0071230,tt0094012"
"nm0000317","Clancy Brown",1959,NA,"actor,soundtrack,producer","tt1179056,tt2279373,tt0111161,tt0120201"
"nm0000318","Tim Burton",1958,NA,"producer,miscellaneous,director","tt1142977,tt0099487,tt0121164,tt0408236"
"nm0000319","Yancy Butler",1970,NA,"actress,director,writer","tt1650554,tt0107076,tt1250777,tt0274298"
"nm0000320","Luis Buñuel",1900,1983,"writer,director,actor","tt0068361,tt0056732,tt0061395,tt0042804"
"nm0000321","Gabriel Byrne",1950,NA,"actor,producer,writer","tt0146675,tt0114814,tt0100150,tt7784604"
"nm0000322","Emmanuelle Béart",1963,NA,"actress,soundtrack","tt0283832,tt0113947,tt0117060,tt0091480"
"nm0000323","Michael Caine",1933,NA,"actor,producer,soundtrack","tt0482571,tt0468569,tt0258068,tt0124315"
"nm0000324","Barbara Carrera",1945,NA,"actress,soundtrack","tt0086006,tt0085862,tt0084112,tt0076210"
"nm0000325","David Caruso",1956,NA,"actor,producer","tt0261983,tt0083944,tt0113451,tt0228750"
"nm0000326","Kim Cattrall",1956,NA,"actress,producer,soundtrack","tt1261945,tt0102975,tt0159206,tt1000774"
"nm0000327","Lacey Chabert",1982,NA,"actress,soundtrack,producer","tt0120738,tt0454082,tt0377092,tt0277371"
"nm0000328","Richard Chamberlain",1934,NA,"actor,soundtrack,producer","tt0076299,tt0072308,tt0072824,tt0085101"
"nm0000329","Jackie Chan",1954,NA,"producer,actor,stunts","tt0089374,tt0120812,tt0266915,tt0127357"
"nm0000330","Stockard Channing",1944,NA,"actress,soundtrack","tt0108149,tt0120791,tt0198021,tt0077631"
"nm0000331","Chevy Chase",1943,NA,"actor,writer,soundtrack","tt0090056,tt0080487,tt0092086,tt0085995"
"nm0000332","Don Cheadle",1964,NA,"actor,producer,soundtrack","tt0988047,tt0375679,tt0395169,tt1540133"
"nm0000333","Cher",1946,NA,"soundtrack,actress,composer","tt1126591,tt0089560,tt0100140,tt0093565"
"nm0000334","Chow Yun-Fat",1955,NA,"actor,writer,soundtrack","tt0120008,tt0190332,tt0473444,tt1098327"
"nm0000335","Glenn Close",1947,NA,"actress,producer,soundtrack","tt0094947,tt3750872,tt2015381,tt0093010"
"nm0000336","James Coburn",1928,2002,"actor,producer,director","tt0057115,tt0054047,tt0056923,tt0074695"
"nm0000337","Rachael Leigh Cook",1979,NA,"actress,producer","tt11100856,tt0160862,tt5659816,tt0331811"
"nm0000338","Francis Ford Coppola",1939,NA,"producer,director,writer","tt0071562,tt0071360,tt0068646,tt0078788"
"nm0000339","Roger Corman",1926,NA,"producer,director,actor","tt0099612,tt0091419,tt0061189,tt0102926"
"nm0000340","Cindy Crawford",1966,NA,"actress,producer,soundtrack","tt0120577,tt0186549,tt0113010,tt1441109"
"nm0000341","Michael Crichton",1942,2008,"writer,producer,director","tt0070909,tt0117998,tt0107290,tt0108757"
"nm0000342","James Cromwell",1940,NA,"actor,producer,soundtrack","tt0119488,tt0117731,tt0120689,tt0144214"
"nm0000343","David Cronenberg",1943,NA,"director,actor,writer","tt0091064,tt0115964,tt0120907,tt0094964"
"nm0000344","Denise Crosby",1957,NA,"actress,producer","tt0097889,tt0083511,tt0098084,tt0104119"
"nm0000345","Billy Crystal",1948,NA,"actor,writer,producer","tt0101587,tt0098635,tt0122933,tt0113097"
"nm0000346","Macaulay Culkin",1980,NA,"actor,producer,director","tt0102492,tt0107034,tt0104431,tt0099785"
"nm0000347","Tim Curry",1946,NA,"actor,soundtrack,producer","tt0073629,tt0088930,tt0108333,tt0112715"
"nm0000348","Tony Curtis",1925,2010,"actor,soundtrack,producer","tt0053291,tt0054331,tt0066701,tt0051036"
"nm0000349","Joan Cusack",1962,NA,"actress,soundtrack,writer","tt0119229,tt1659337,tt0119360,tt0096463"
"nm0000350","Beverly D'Angelo",1951,NA,"actress,soundtrack,producer","tt0120434,tt0097958,tt0085995,tt0120586"
"nm0000351","Donna D'Errico",1968,NA,"actress,director,producer","tt7235466,tt4270458,tt12861508,tt4459134"
"nm0000352","Vincent D'Onofrio",1959,NA,"actor,producer,soundtrack","tt0209958,tt0093058,tt0119654,tt0109707"
"nm0000353","Willem Dafoe",1955,NA,"actor,soundtrack,producer","tt6938828,tt7984734,tt5649144,tt0145487"
"nm0000354","Matt Damon",1970,NA,"producer,actor,soundtrack","tt0119217,tt0134119,tt0407887,tt3659388"
"nm0000355","Anthony Daniels",1946,NA,"actor,producer,writer","tt2488496,tt0080684,tt2527336,tt0076759"
"nm0000356","Sybil Danning",1947,NA,"actress,producer,writer","tt0080421,tt0373883,tt0085672,tt0085318"
"nm0000357","Lolita Davidovich",1961,NA,"actress","tt0096943,tt0329717,tt0092513,tt0102138"
"nm0000358","Daniel Day-Lewis",1957,NA,"actor,music_department,soundtrack","tt0104691,tt0443272,tt0469494,tt0217505"
"nm0000359","Olivier De Funès",1949,NA,"actor,writer,soundtrack","tt0060475,tt0250077,tt0065848,tt0064425"
"nm0000360","Rebecca De Mornay",1959,NA,"actress,soundtrack,producer","tt0396269,tt0086200,tt0104389,tt0089941"
"nm0000361","Brian De Palma",1940,NA,"director,writer,producer","tt0120832,tt0094226,tt0080661,tt0086984"
"nm0000362","Danny DeVito",1944,NA,"actor,producer,director","tt0094142,tt0098621,tt0103776,tt0117008"
"nm0000363","Loren Dean",1969,NA,"actor,soundtrack","tt0112384,tt0186566,tt0120660,tt0098258"
"nm0000364","Sandra Dee",1942,2005,"actress,soundtrack","tt0056093,tt0052918,tt0052847,tt0053320"
"nm0000365","Julie Delpy",1969,NA,"actress,writer,director","tt0381681,tt0841044,tt0112471,tt0111507"
"nm0000366","Catherine Deneuve",1943,NA,"actress,soundtrack,producer","tt0283832,tt0168629,tt0061395,tt0059646"
"nm0000367","Gérard Depardieu",1948,NA,"actor,producer,soundtrack","tt0099334,tt0099699,tt0120744,tt0103594"
"nm0000368","Laura Dern",1967,NA,"actress,producer,writer","tt0090756,tt7653254,tt2305051,tt0107290"
"nm0000369","Matt Dillon",1964,NA,"actor,director,writer","tt0097240,tt0129387,tt4003440,tt0375679"
"nm0000370","Walt Disney",1901,1966,"producer,actor,miscellaneous","tt0029583,tt0058331,tt0048280,tt0034492"
"nm0000371","Ami Dolenz",1969,NA,"actress,producer,miscellaneous","tt0110913,tt0092718,tt0107949,tt0086765"
"nm0000372","Amanda Donohoe",1962,NA,"actress,producer","tt0110428,tt0119528,tt0090466,tt0095488"
"nm0000373","Michael Dorn",1952,NA,"actor,director,soundtrack","tt0117731,tt0111280,tt0253754,tt0120844"
"nm0000374","Brad Dourif",1950,NA,"actor","tt0099528,tt0167261,tt0095647,tt0073486"
"nm0000375","Robert Downey Jr.",1965,NA,"actor,producer,soundtrack","tt0371746,tt0988045,tt4154796,tt1300854"
"nm0000376","Fran Drescher",1957,NA,"writer,actress,producer","tt0098546,tt0106080,tt0837562,tt0118691"
"nm0000377","Richard Dreyfuss",1947,NA,"actor,producer,soundtrack","tt0076095,tt0073195,tt0075860,tt0069704"
"nm0000378","Minnie Driver",1970,NA,"actress,soundtrack,producer","tt0112679,tt5592146,tt0496343,tt0119217"
"nm0000379","Kirsten Dunst",1982,NA,"actress,producer,soundtrack","tt0145487,tt1527186,tt0110148,tt0110367"
"nm0000380","Robert Duvall",1931,NA,"actor,producer,soundtrack","tt0078788,tt0086423,tt0118632,tt0316356"
"nm0000381","Anthony Edwards",1962,NA,"actor,producer,director","tt0092099,tt0108757,tt0443706,tt0088000"
"nm0000382","Atom Egoyan",1960,NA,"director,writer,producer","tt1352824,tt0273435,tt2326612,tt0120255"
"nm0000383","Jennifer Ehle",1969,NA,"actress","tt1790885,tt2392830,tt0112130,tt4919484"
"nm0000384","Danny Elfman",1953,NA,"music_department,soundtrack,composer","tt0121164,tt0107688,tt0119654,tt0367594"
"nm0000385","Sam Elliott",1944,NA,"actor,producer,soundtrack","tt5655222,tt0098206,tt0118715,tt1517451"
"nm0000386","Roland Emmerich",1955,NA,"writer,producer,director","tt0120685,tt0319262,tt0116629,tt1628841"
"nm0000387","Robert Englund",1947,NA,"actor,miscellaneous,director","tt0087800,tt0093629,tt0095742,tt0329101"
"nm0000388","R. Lee Ermey",1944,2018,"actor,miscellaneous,producer","tt0095647,tt0114369,tt0324216,tt0093058"
"nm0000389","Emilio Estevez",1962,NA,"actor,director,producer","tt1441912,tt0100994,tt3294746,tt0308055"
"nm0000390","Joe Eszterhas",1944,NA,"writer,producer,miscellaneous","tt0108162,tt0118577,tt0103772,tt0114436"
"nm0000391","Rupert Everett",1959,NA,"actor,soundtrack,producer","tt2404639,tt0119738,tt0109592,tt0122541"
"nm0000392","Morgan Fairchild",1950,NA,"actress,soundtrack,producer","tt0084652,tt0081858,tt0108778,tt1754944"
"nm0000393","Peter Falk",1927,2011,"actor,producer,soundtrack","tt1466074,tt0093779,tt0074937,tt0281322"
"nm0000394","Chris Farley",1964,1997,"actor,soundtrack,stunts","tt0106598,tt0114694,tt0115697,tt0118708"
"nm0000395","Terry Farrell",1963,NA,"actress","tt0090685,tt0174378,tt0104409,tt0106145"
"nm0000396","Farrah Fawcett",1947,2009,"actress,producer,soundtrack","tt0073972,tt0074812,tt0079285,tt0082136"
"nm0000397","Corey Feldman",1971,NA,"actor,producer,soundtrack","tt0093437,tt0089218,tt0087298,tt0092005"
"nm0000398","Sally Field",1946,NA,"actress,producer,soundtrack","tt0098384,tt0109830,tt0443272,tt0076729"
"nm0000399","David Fincher",1962,NA,"producer,director,actor","tt0443706,tt1285016,tt2267998,tt0114369"
"nm0000400","Linda Fiorentino",1958,NA,"actress,soundtrack","tt0088680,tt0120655,tt0119654,tt0110308"
"nm0000401","Laurence Fishburne",1961,NA,"actor,producer,writer","tt0327056,tt0133093,tt0234215,tt1598778"
"nm0000402","Carrie Fisher",1956,2016,"actress,miscellaneous,soundtrack","tt0086190,tt2527336,tt0080684,tt0076759"
"nm0000403","Bridget Fonda",1964,NA,"actress,soundtrack","tt0107843,tt0139414,tt0105414,tt0120324"
"nm0000404","Jane Fonda",1937,NA,"actress,producer,soundtrack","tt0369735,tt3312830,tt0067309,tt0062711"
"nm0000405","Michelle Forbes",1965,NA,"actress","tt0107302,tt0116225,tt0844441,tt1951266"
"nm0000406","John Ford",1894,1973,"director,producer,writer","tt0032551,tt0056217,tt0031971,tt0045061"
"nm0000407","Vivica A. Fox",1964,NA,"actress,producer,soundtrack","tt0116629,tt0118688,tt0266697,tt0373474"
"nm0000408","Jonathan Frakes",1952,NA,"actor,director,producer","tt0253754,tt0120844,tt0111280,tt0117731"
"nm0000409","Brendan Fraser",1968,NA,"actor,producer,soundtrack","tt0124298,tt0120616,tt0209163,tt0375679"
"nm0000410","Stephen Fry",1957,NA,"actor,writer,producer","tt0434409,tt0371724,tt0120514,tt0280707"
"nm0000411","Edward Furlong",1977,NA,"actor,producer,soundtrack","tt0103064,tt0120586,tt0990407,tt0165710"
"nm0000412","Andy Garcia",1956,NA,"actor,producer,soundtrack","tt0349903,tt0240772,tt0099674,tt0343996"
"nm0000413","Janeane Garofalo",1964,NA,"actress,writer,producer","tt0132347,tt0243655,tt0382932,tt0117979"
"nm0000414","Teri Garr",1947,NA,"actress,soundtrack","tt0084805,tt0088680,tt0075860,tt0072431"
"nm0000415","Jami Gertz",1965,NA,"actress,producer,executive","tt0088128,tt0117998,tt0320970,tt0093437"
"nm0000416","Terry Gilliam",1940,NA,"writer,actor,animation_department","tt0071853,tt1054606,tt0088846,tt0085959"
"nm0000417","Crispin Glover",1964,NA,"actor,soundtrack,producer","tt0118141,tt0310357,tt0091860,tt1898069"
"nm0000418","Danny Glover",1946,NA,"actor,producer,director","tt1190080,tt0093409,tt0104714,tt0122151"
"nm0000419","Jean-Luc Godard",1930,2022,"director,writer,editor","tt0056663,tt0059592,tt0053472,tt0058898"
"nm0000420","Valeria Golino",1965,NA,"actress,producer,soundtrack","tt0107144,tt0102059,tt8613070,tt0095953"
"nm0000421","Cuba Gooding Jr.",1968,NA,"actor,soundtrack,producer","tt0250687,tt0116695,tt0203019,tt0316465"
"nm0000422","John Goodman",1952,NA,"actor,soundtrack,producer","tt1024648,tt1907668,tt0101410,tt1179933"
"nm0000423","Serena Grandi",1958,NA,"actress","tt2358891,tt0089598,tt0104123,tt0089271"
"nm0000424","Hugh Grant",1960,NA,"actor,soundtrack","tt0125439,tt0314331,tt0276751,tt0109831"
"nm0000425","Peter Greenaway",1942,NA,"director,writer,editor","tt0446750,tt0092929,tt1702429,tt0097108"
"nm0000426","Jennifer Grey",1960,NA,"actress,soundtrack","tt2013293,tt0091042,tt0087985,tt0092890"
"nm0000427","Pam Grier",1949,NA,"actress,soundtrack,writer","tt0228333,tt0069897,tt0071517,tt0119396"
"nm0000428","D.W. Griffith",1875,1948,"director,writer,producer","tt0010484,tt0006864,tt0004972,tt0009968"
"nm0000429","Melanie Griffith",1957,NA,"actress,producer","tt0086984,tt0091983,tt0096463,tt0119558"
"nm0000430","Steve Guttenberg",1958,NA,"actor,producer,soundtrack","tt0094137,tt0087928,tt0089822,tt0091949"
"nm0000431","Taylor Hackford",1944,NA,"producer,director,writer","tt0084434,tt0106469,tt0109642,tt0350258"
"nm0000432","Gene Hackman",1930,NA,"actor,soundtrack,producer","tt0067116,tt0265666,tt0105695,tt0069113"
"nm0000433","Corey Haim",1971,2010,"actor,producer,soundtrack","tt0095519,tt0090021,tt0091445,tt0093437"
"nm0000434","Mark Hamill",1951,NA,"actor,soundtrack,producer","tt0080684,tt2527336,tt0086190,tt0076759"
"nm0000435","Daryl Hannah",1960,NA,"actress,producer,director","tt0088161,tt0083658,tt0094291,tt0378194"
"nm0000436","Curtis Hanson",1945,2016,"director,producer,writer","tt0185014,tt0119488,tt0104389,tt0388125"
"nm0000437","Woody Harrelson",1961,NA,"actor,producer,soundtrack","tt1156398,tt0117318,tt2356777,tt0110632"
"nm0000438","Ed Harris",1950,NA,"actor,producer,director","tt0800308,tt0183659,tt0120382,tt0112384"
"nm0000439","Neil Patrick Harris",1973,NA,"actor,producer,soundtrack","tt4834206,tt0120201,tt0460649,tt2267998"
"nm0000440","Nina Hartley",1959,NA,"actress,director,producer","tt0118749,tt0167019,tt0189990,tt1282224"
"nm0000441","Noah Hathaway",1971,NA,"actor,miscellaneous","tt0088323,tt0092115,tt0077215,tt0076984"
"nm0000442","Rutger Hauer",1944,2019,"actor,producer,director","tt0091209,tt0083658,tt1640459,tt0401792"
"nm0000443","Goldie Hawn",1945,NA,"actress,producer,soundtrack","tt0116313,tt0104070,tt0093693,tt0081375"
"nm0000444","Glenne Headly",1955,2017,"actress","tt0099422,tt0113862,tt2229499,tt0095031"
"nm0000445","Dan Hedaya",1940,NA,"actor,soundtrack","tt0166924,tt0086979,tt0112697,tt0114814"
"nm0000446","Mariel Hemingway",1961,NA,"actress,producer,soundtrack","tt0094074,tt0079522,tt0159730,tt0088960"
"nm0000447","Marilu Henner",1952,NA,"actress,miscellaneous,producer","tt0105017,tt0077089,tt0087507,tt0102250"
"nm0000448","Lance Henriksen",1940,NA,"actor,producer,miscellaneous","tt0370263,tt0107076,tt0090605,tt0114214"
"nm0000449","Natasha Henstridge",1974,NA,"actress,producer,soundtrack","tt0190138,tt0120841,tt0114508,tt0228333"
"nm0000450","Philip Seymour Hoffman",1967,2014,"actor,producer,soundtrack","tt1560747,tt0379725,tt0292963,tt0472062"
"nm0000451","Gaby Hoffmann",1982,NA,"actress,soundtrack,director","tt0098554,tt0114011,tt0097351,tt0116242"
"nm0000452","Lauren Holly",1963,NA,"actress,producer","tt0106770,tt0109686,tt0207201,tt0103512"
"nm0000453","Ian Holm",1931,2020,"actor,soundtrack,animation_department","tt0088846,tt0120737,tt0167260,tt0382932"
"nm0000454","Dennis Hopper",1936,2010,"actor,director,writer","tt0064276,tt0090756,tt0111257,tt0114898"
"nm0000455","John Hughes",1950,2009,"writer,producer,director","tt0091042,tt0090305,tt0098554,tt0093748"
"nm0000456","Holly Hunter",1958,NA,"actress,producer,soundtrack","tt0092699,tt3606756,tt0107822,tt0328538"
"nm0000457","John Hurt",1940,2017,"actor,soundtrack","tt0078748,tt0080678,tt0087803,tt1340800"
"nm0000458","William Hurt",1950,2022,"actor,producer","tt0092699,tt0399146,tt0120738,tt0080360"
"nm0000459","Timothy Hutton",1960,NA,"actor,producer,director","tt0081283,tt0115639,tt0343737,tt1103987"
"nm0000460","Jeremy Irons",1948,NA,"actor,soundtrack,producer","tt0094964,tt0110357,tt2975590,tt2094766"
"nm0000461","Michael Ironside",1950,NA,"actor,producer,writer","tt0092099,tt0100802,tt0081455,tt0120201"
"nm0000462","Kate Jackson",1948,NA,"actress,producer,director","tt0085088,tt0084293,tt0073972,tt0059978"
"nm0000463","Famke Janssen",1964,NA,"actress,writer,director","tt0120903,tt0376994,tt0185371,tt0113189"
"nm0000464","Jim Jarmusch",1953,NA,"director,writer,actor","tt5247022,tt1714915,tt0088184,tt0412019"
"nm0000465","Ron Jeremy",1953,NA,"actor,director,writer","tt0124819,tt0120577,tt0165710,tt0144117"
"nm0000466","Jean-Pierre Jeunet",1953,NA,"director,writer,producer","tt0344510,tt1149361,tt0101700,tt0211915"
"nm0000467","Don Johnson",1949,NA,"actor,producer,soundtrack","tt0072730,tt8946378,tt0086759,tt1853728"
"nm0000468","Lynn-Holly Johnson",1958,NA,"actress,director","tt0081738,tt0082398,tt0088395,tt0077716"
"nm0000469","James Earl Jones",1931,NA,"actor,soundtrack","tt6105098,tt3748528,tt0099810,tt0094898"
"nm0000470","Jeffrey Jones",1946,NA,"actor,soundtrack","tt0091225,tt0091042,tt0109707,tt0086879"
"nm0000471","Raul Julia",1940,1994,"actor,soundtrack","tt0101272,tt0089424,tt0111301,tt0106220"
"nm0000472","Boris Karloff",1887,1969,"actor,soundtrack","tt0023194,tt0023245,tt0026138,tt0024894"
"nm0000473","Diane Keaton",1946,NA,"actress,producer,soundtrack","tt0073312,tt0075686,tt0356680,tt0337741"
"nm0000474","Michael Keaton",1951,NA,"actor,miscellaneous,producer","tt1895587,tt0096895,tt2562232,tt4276820"
"nm0000475","Patsy Kensit",1968,NA,"actress,soundtrack","tt0068069,tt0097733,tt0090585,tt0079268"
"nm0000476","Sally Kirkland",1941,NA,"actress,producer,miscellaneous","tt7525642,tt0102138,tt0092569,tt3216866"
"nm0000477","Mia Kirshner",1975,NA,"actress","tt3520702,tt0330251,tt0387877"
"nm0000478","Tawny Kitaen",1961,2021,"actress,producer","tt0087903,tt2797190,tt0111999,tt0086927"
"nm0000479","Walter Koenig",1936,NA,"actor,writer,producer","tt0084726,tt0092007,tt0102975,tt0060028"
"nm0000480","Elias Koteas",1961,NA,"actor,producer","tt0822854,tt0100758,tt0120863,tt0114194"
"nm0000481","Alice Krige",1954,NA,"actress,producer,writer","tt0117731,tt0105428,tt9086228,tt0384537"
"nm0000482","Sylvia Kristel",1952,2012,"actress,soundtrack,director","tt0071464,tt0078740,tt0077497,tt0081249"
"nm0000483","Christopher Lambert",1957,NA,"actor,producer,writer","tt0106950,tt0091203,tt0120604,tt0113855"
