"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 23:25:05,FALSE,NA,"1586499390642192384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ubagasamuel1",37,TRUE,FALSE,NA,NA
"RT @MikesJoblist: Hot new #jobopenings Momenta Pain Care in Omaha Nebraska is #hiring #HiringAlert for a Radiology Technologist and nurses…",FALSE,0,NA,2022-10-29 23:08:34,FALSE,NA,"1586495236272001024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bovanpelt",5,TRUE,FALSE,NA,NA
"RT @MikeZeigle: New #jobopenings The Okey Companion And Care Services LLC is #HIRINGNOW #Hiring in Omaha Nebraska #healthcare #healthcarepr…",FALSE,0,NA,2022-10-29 23:03:24,FALSE,NA,"1586493937409138694",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bovanpelt",6,TRUE,FALSE,NA,NA
"#Omaha #jobs #hiring #opportunity @ BunzlRetail Services. (Omaha, NE) - Class A CDL Driver https://t.co/1sG9v484cl",FALSE,0,NA,2022-10-29 23:01:03,FALSE,NA,"1586493342921129984",NA,"<a href=""https://jobs.frontend.la"" rel=""nofollow"">FrontendLA</a>","FrontendLA",1,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 22:53:34,FALSE,NA,"1586491461477859328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","veronica_nunnes",29,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 22:51:05,FALSE,NA,"1586490834622459905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MantheMullet",29,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “This nation belongs to God.” - Kenneth Copeland 

#KCMEvent #Omaha #Nebraska #JesusIsLord #VictoryCampaign #Victory #…",FALSE,0,NA,2022-10-29 22:43:27,FALSE,NA,"1586488913837031425",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kellison0623",30,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 22:35:46,FALSE,NA,"1586486980501995520",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MargaretsDream",29,TRUE,FALSE,NA,NA
"As mentioned earlier,  Latkoczy gets the start tonight for #Omaha. 

3GP 1-1 in net with a 4.37 GAA and a .828 SV%. https://t.co/U7eeS5vtRG",FALSE,0,NA,2022-10-29 22:28:15,FALSE,NA,"1586485089717796864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshLinsenberg",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 22:24:15,FALSE,NA,"1586484081357131776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moaghete",29,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 22:24:09,FALSE,NA,"1586484057407266818",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moaghete",37,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 22:23:17,FALSE,NA,"1586483841371615232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Killamalli_0713",29,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 22:21:24,FALSE,NA,"1586483367100715008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PO_rightleg",37,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith is a powerful thing.” - Kenneth Copeland 

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLord #VictoryCam…",FALSE,0,NA,2022-10-29 22:20:04,FALSE,NA,"1586483028431278080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Killamalli_0713",27,TRUE,FALSE,NA,NA
"Demolition of the W. Dale Clark Omaha public library. October 29, 2022. A new 677-foot Mutual skyscraper will take… https://t.co/79aGRXBHOg",FALSE,1,NA,2022-10-29 22:19:51,TRUE,NA,"1586482975285202944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShawnBiessel",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 22:15:46,FALSE,NA,"1586481949136211968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Killamalli_0713",37,TRUE,FALSE,NA,NA
"What a Beautiful Saturday spending time with a few great leaders in their stores!! All about driving excitement and… https://t.co/D8UStt9y9I",FALSE,2,NA,2022-10-29 22:12:05,TRUE,NA,"1586481022480572416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LafonTerry",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 22:11:43,FALSE,NA,"1586480929211527169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shearwaters007",29,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith is a powerful thing.” - Kenneth Copeland 

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLord #VictoryCam…",FALSE,0,NA,2022-10-29 21:56:44,FALSE,NA,"1586477159421337601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pastordavidflor",27,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 21:55:33,FALSE,NA,"1586476860396797952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JudahAkintayo",29,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 21:51:21,FALSE,NA,"1586475804694749184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HanchardLoraine",37,TRUE,FALSE,NA,NA
"Hard work pays off! Congratulations Colton on your new Honda Civic!! I greatly appreciate your business! 
#superior… https://t.co/aasjgHBTxz",FALSE,0,NA,2022-10-29 21:51:16,TRUE,NA,"1586475781785526273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","acurtice",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 21:50:32,FALSE,NA,"1586475596132982785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Muhamma48383089",37,TRUE,FALSE,NA,NA
"Been together over 23 years and grateful for @lukecombs @LukeCombsUpdate song as #HighSchoolSweetHearts fail more t… https://t.co/gT5XSC4j6r",FALSE,0,NA,2022-10-29 21:48:52,TRUE,NA,"1586475179349200896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DJKDuBOmaha",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 21:48:10,FALSE,NA,"1586475001418424320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","winny_mk",37,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 21:45:30,FALSE,NA,"1586474332934623233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MantheMullet",37,TRUE,FALSE,NA,NA
"Lines tonight for @OmahaHKY:
#Isles prospects Jake Pivonka and Cameron Berg are once again in the lineup.

Coach Ga… https://t.co/Y2CuOEXyxm",FALSE,2,NA,2022-10-29 21:40:35,TRUE,NA,"1586473092494524416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshLinsenberg",0,FALSE,FALSE,NA,NA
"Seems a little early for this sort of shenanigans, #Omaha...

That's some #OmahaAfterDark shit, not mid-afternoon..… https://t.co/1Vb7LqKLvr",FALSE,0,NA,2022-10-29 21:31:31,TRUE,NA,"1586470811057152000",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sir_vert",0,FALSE,FALSE,NA,NA
"Getting set up for an epic #halloween party in an otherwise quiet #omaha neighborhood… #ghostbusters and… https://t.co/al8KWwQX3x",FALSE,1,NA,2022-10-29 21:27:42,TRUE,NA,"1586469853111746563",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TotalProtonic",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 21:27:18,FALSE,NA,"1586469753157128194",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BannermanMiguel",29,TRUE,FALSE,NA,NA
"alright… so i’m in Omaha for the first time. what is there to do on a Saturday night in #Omaha",FALSE,2,NA,2022-10-29 21:18:48,FALSE,NA,"1586467612275331073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JarOfComics",0,FALSE,FALSE,NA,NA
"Ryder is hiring in #Omaha, NE! Read about our latest #DieselMechanic job opening via the link in our bio: Master Diesel Mechanic Technician",FALSE,0,NA,2022-10-29 21:18:10,FALSE,NA,"1586467454443655168",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_NEO_skltrd",0,FALSE,FALSE,"-96.01896","41.2453849"
"Excited for Night 2️⃣ of @lukecombs? Ok, we are too! 😊

Doors open @ 5:30 and we are ready for another SOLD OUT nig… https://t.co/o9PZTECm8B",FALSE,6,NA,2022-10-29 21:00:01,TRUE,NA,"1586462885793787905",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CHICenterOmaha",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 20:48:40,FALSE,NA,"1586460028693012480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dennisnemi123",37,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 20:47:15,FALSE,NA,"1586459670885019648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rockmayfield94",37,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 20:46:25,FALSE,NA,"1586459462201593856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NiqShot",37,TRUE,FALSE,NA,NA
"RT @FrontendLA: #Omaha #jobs #hiring #opportunity @ Hy-Vee, Inc. (Omaha, NE) - Online Personal Shopper https://t.co/NBYzKX8v4t",FALSE,0,NA,2022-10-29 20:30:17,FALSE,NA,"1586455401754763268",NA,"<a href=""https://google.com"" rel=""nofollow"">JobsViaTweet</a>","jobsviatweet",1,TRUE,FALSE,NA,NA
"We’re having a great time at the Omaha Comic &amp; Toy Show this weekend! If you’re in the area make sure you stop by o… https://t.co/6m0YGt6zCq",FALSE,0,NA,2022-10-29 20:27:35,TRUE,NA,"1586454724261433346",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","SenMaxGames",0,FALSE,FALSE,NA,NA
"#Omaha #jobs #hiring #opportunity @ Hy-Vee, Inc. (Omaha, NE) - Online Personal Shopper https://t.co/NBYzKX8v4t",FALSE,0,NA,2022-10-29 20:23:02,FALSE,NA,"1586453578511679489",NA,"<a href=""https://jobs.frontend.la"" rel=""nofollow"">FrontendLA</a>","FrontendLA",1,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 20:19:00,FALSE,NA,"1586452561212583938",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MizBanks",29,TRUE,FALSE,NA,NA
"RT @GoVictoryTV: “A testimony builds the capacity for faith.” - Kenneth Copeland @CopelandNetwork 

#KennethCopeland #KCMEvent #Omaha #Nebr…",FALSE,0,NA,2022-10-29 20:18:48,FALSE,NA,"1586452510490841088",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MizBanks",1,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 20:18:21,FALSE,NA,"1586452400654598144",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MizBanks",37,TRUE,FALSE,NA,NA
"RT @GoVictoryTV: “Today is your healing day.” - Kenneth Copeland @CopelandNetwork 

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLor…",FALSE,0,NA,2022-10-29 20:18:15,FALSE,NA,"1586452374909947904",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MizBanks",1,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith is a powerful thing.” - Kenneth Copeland 

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLord #VictoryCam…",FALSE,0,NA,2022-10-29 20:14:50,FALSE,NA,"1586451516168495104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","revMarkStephens",27,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 20:14:01,FALSE,NA,"1586451306742312960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbaliP",37,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 20:13:32,FALSE,NA,"1586451188593016832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Janet18087557",37,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 20:13:14,FALSE,NA,"1586451113074491392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JudahAkintayo",37,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 20:05:21,FALSE,NA,"1586449126165733376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GraceJo49016769",37,TRUE,FALSE,NA,NA
"Interested in a job in #Omaha, NE? This could be a great fit. Click the link in our bio to apply: Parts Delivery at O'Reilly Automotive",FALSE,0,NA,2022-10-29 19:59:08,FALSE,NA,"1586447564441649152",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_NEO_transp",0,FALSE,FALSE,"-95.9979883","41.2523634"
"RT @careerlink4jobs: New #JobAlert Millard Childcare and Preschool in Omaha Nebraska is #hiring #HIRINGNOW for #teacher #daycareattendant #…",FALSE,0,NA,2022-10-29 19:48:29,FALSE,NA,"1586444884772548608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MikeZeigle",2,TRUE,FALSE,NA,NA
"RT @careerlink4jobs: #JobAlert Millard Childcare and Preschool in Omaha Nebraska is #hiring #HIRINGNOW for #teacher #daycareattendant #chil…",FALSE,0,NA,2022-10-29 19:47:43,FALSE,NA,"1586444690089541635",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MikeZeigle",2,TRUE,FALSE,NA,NA
"RT @careerlink4jobs: #jobopenings Electric Company of Omaha is #hiring for a Receptionist #Clerical #Administrative  #office #AdminJobs #Om…",FALSE,0,NA,2022-10-29 19:44:08,FALSE,NA,"1586443789794770946",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MikeZeigle",2,TRUE,FALSE,NA,NA
"RT @careerlink4jobs: Millard Childcare and Preschool in Omaha Nebraska is #hiring #HIRINGNOW for #teacher #daycareattendant #childcare #Tea…",FALSE,0,NA,2022-10-29 19:43:59,FALSE,NA,"1586443751551303681",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MikeZeigle",2,TRUE,FALSE,NA,NA
"RT @careerlink4jobs: WOW! Look who's #Hiring Millard Childcare and Preschool in Omaha Nebraska is #HIRINGNOW for #teacher #daycareattendant…",FALSE,0,NA,2022-10-29 19:42:40,FALSE,NA,"1586443418800197635",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MikeZeigle",2,TRUE,FALSE,NA,NA
"RT @careerlink4jobs: Look who's hiring in Council Bluffs, Iowa is #hiring #HIRINGNOW #Job #jobs #Iowa #Omaha https://t.co/wHF6pl5fyW…",FALSE,0,NA,2022-10-29 19:39:08,FALSE,NA,"1586442531981492225",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MikeZeigle",2,TRUE,FALSE,NA,NA
"@AceHardware in #Omaha #Nebraska let’s an employee wear a swastika huh?

Fuck that.",FALSE,0,"AceHardware",2022-10-29 19:37:05,FALSE,NA,"1586442014266380289","19659769","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CharityWhatever",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 19:33:26,FALSE,NA,"1586441096116068372",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oladavi46005796",29,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “God will bless the work of your hands!” -@jerrysavellemin 

#kcmevent #faith #victory #omaha #nebraska #victorycampai…",FALSE,0,NA,2022-10-29 19:31:22,FALSE,NA,"1586440577377132544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","god4bandme",26,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “When God opens His hand you can expect supernatural provision.” - @jerrysavellemin 

#JerrySavelle #KCMEvent #Omaha #…",FALSE,0,NA,2022-10-29 19:29:36,FALSE,NA,"1586440129673052161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClareBz1",22,TRUE,FALSE,NA,NA
"At #SAIC, we act as one. Join us as a Software Engineer in #Omaha, NE. https://t.co/f8x9gRD8vw",FALSE,0,NA,2022-10-29 19:26:42,FALSE,NA,"1586439402200305664",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_NEO_it",0,FALSE,FALSE,"-95.9979883","41.2523634"
"Don't be shy. Score a job like ""Retail Sales Specialist"" at O'Reilly Automotive by asking for referrals. It's a gre… https://t.co/uGl56B3vFj",FALSE,0,NA,2022-10-29 19:22:32,TRUE,NA,"1586438353754333184",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_IAC_retail",0,FALSE,FALSE,"-95.9979883","41.2523634"
"If you like #Trains take a look #Here #Railroad #Art #Books #Museums #Fun #America #United #States #Pullman #Union… https://t.co/JYQPb5o78W",FALSE,1,NA,2022-10-29 19:22:04,TRUE,NA,"1586438236527697920",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gdlcolorado",0,FALSE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith is a powerful thing.” - Kenneth Copeland 

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLord #VictoryCam…",FALSE,0,NA,2022-10-29 19:21:34,FALSE,NA,"1586438108534669313",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JacskaThixo",27,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Faith begins where the Will of God is known.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusI…",FALSE,0,NA,2022-10-29 19:08:48,FALSE,NA,"1586434894552498177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carla_chatman",29,TRUE,FALSE,NA,NA
"RT @CopelandNetwork: “Healing is not a reward; it’s a property.” - Kenneth Copeland

#kennethcopeland #KCMEvent #Omaha #Nebraska #JesusIsLo…",FALSE,0,NA,2022-10-29 19:08:36,FALSE,NA,"1586434848146669569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carla_chatman",37,TRUE,FALSE,NA,NA
"Come grab some goodies 🥃 from the #boozebank this weekend. Stock up for that #Haloween night fast approaching 👻🎃… https://t.co/xmbIbkxbkG",FALSE,1,NA,2022-10-29 18:50:42,TRUE,NA,"1586430342705344512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PITCHPIZZERIA",0,FALSE,FALSE,NA,NA
