YEAR,NEWSFROM,HAPPY,RELIG,GRASS,COURTS,ENERGY,EDUC,ENVIR,POLVIEWS,PARTYID,REGION,INCOME,SEX,DEGREE,AGE,MARITAL,BALLOT
2010,Not applicable,Not too happy,Jewish,Not applicable,Don't know,About right,Not applicable,Not applicable,Moderate,Democrat,Middle atlantic,$25000 or more,Female,Bachelor,33,Never married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Legal,About right,Too little,Too little,Too little,Slightly liberal,Democrat,Middle atlantic,$25000 or more,Female,Bachelor,53,Divorced,Ballot b
2010,Not applicable,Very happy,None,Legal,Don't know,About right,Not applicable,Not applicable,Liberal,Democrat,Middle atlantic,Refused,Female,Graduate,63,Married,Ballot c
2010,The internet,Pretty happy,Jewish,Legal,Not harsh enough,Too little,Too little,Too little,Liberal,Independent,Middle atlantic,$25000 or more,Male,Graduate,34,Married,Ballot c
2010,Not applicable,Not too happy,Orthodox-christian,Not applicable,Don't know,Too little,Not applicable,Not applicable,Moderate,Democrat,Middle atlantic,Don't know,Male,Junior college,75,Widowed,Ballot a
2010,Not applicable,Very happy,Catholic,Don't know,Not harsh enough,About right,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,Don't know,Female,Bachelor,78,Married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,Too harsh,Too little,Not applicable,Not applicable,Slghtly conservative,Independent,Middle atlantic,$25000 or more,Male,High school,57,Widowed,Ballot a
2010,Not applicable,Very happy,None,Legal,Don't know,Too much,Don't know,Don't know,Moderate,Independent,Middle atlantic,Refused,Male,Graduate,43,Married,Ballot b
2010,Not applicable,Very happy,Jewish,Legal,Don't know,About right,Not applicable,Not applicable,Liberal,Democrat,Middle atlantic,$25000 or more,Female,Bachelor,84,Divorced,Ballot c
2010,Not applicable,Pretty happy,Jewish,Not applicable,Not harsh enough,Too little,Too little,About right,Slghtly conservative,Independent,Middle atlantic,$25000 or more,Male,Graduate,53,Married,Ballot a
2010,Not applicable,Pretty happy,Jewish,Legal,Not harsh enough,About right,Not applicable,Not applicable,Liberal,Democrat,Middle atlantic,$25000 or more,Female,High school,83,Widowed,Ballot b
2010,Not applicable,Very happy,Jewish,Not applicable,About right,Too little,Not applicable,Not applicable,Liberal,Democrat,Middle atlantic,$25000 or more,Male,Graduate,69,Married,Ballot a
2010,Not applicable,Pretty happy,Inter-nondenominational,Legal,Don't know,Too little,Not applicable,Not applicable,Liberal,Democrat,Middle atlantic,$15000 - 19999,Male,Bachelor,24,Never married,Ballot c
2010,Not applicable,Pretty happy,None,Legal,Don't know,Too little,Not applicable,Not applicable,Liberal,Democrat,Middle atlantic,$25000 or more,Male,Graduate,33,Never married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,About right,Not applicable,Not applicable,Slghtly conservative,Independent,Middle atlantic,Don't know,Female,High school,23,Never married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Legal,Not harsh enough,Too little,Too little,Too little,Liberal,Independent,Middle atlantic,$25000 or more,Male,Graduate,25,Never married,Ballot b
2010,Not applicable,Very happy,None,Don't know,Not harsh enough,Don't know,Not applicable,Not applicable,Don't know,Independent,Middle atlantic,Refused,Female,Graduate,66,Married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Don't know,About right,Too little,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,$20000 - 24999,Male,High school,20,Never married,Ballot b
2010,The internet,Pretty happy,Catholic,Legal,Not harsh enough,Too little,Too little,Too little,Liberal,Democrat,Middle atlantic,$25000 or more,Female,High school,37,Never married,Ballot c
2010,Not applicable,Not too happy,Protestant,Not legal,Not harsh enough,Too much,Not applicable,Not applicable,Slghtly conservative,Democrat,Middle atlantic,$25000 or more,Male,High school,64,Divorced,Ballot c
2010,Not applicable,Very happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,New england,$25000 or more,Male,High school,45,Divorced,Ballot b
2010,Not applicable,Very happy,Protestant,Don't know,Don't know,Too little,Don't know,Don't know,Liberal,Democrat,New england,Don't know,Female,High school,40,Married,Ballot b
2010,Not applicable,Pretty happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,New england,$25000 or more,Male,Bachelor,80,Divorced,Ballot c
2010,Not applicable,Pretty happy,None,Legal,Not harsh enough,Too much,Not applicable,Not applicable,Conservative,Independent,New england,$25000 or more,Male,High school,60,Married,Ballot b
2010,Not applicable,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Too little,Too little,Slghtly conservative,Republican,New england,$25000 or more,Male,Bachelor,49,Married,Ballot b
2010,Not applicable,Pretty happy,Other eastern,Don't know,About right,Too little,Not applicable,Not applicable,Extremely liberal,Independent,New england,$25000 or more,Female,Bachelor,22,Never married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,New england,$25000 or more,Female,Graduate,63,Married,Ballot b
2010,Not applicable,Very happy,Catholic,Legal,Not harsh enough,Too little,About right,About right,Slghtly conservative,Independent,Middle atlantic,$10000 - 14999,Male,Bachelor,72,Divorced,Ballot b
2010,Tv,Not too happy,Protestant,Not legal,Not harsh enough,Too little,Too little,Too little,Slightly liberal,Republican,Middle atlantic,$25000 or more,Female,Lt high school,42,Divorced,Ballot c
2010,Not applicable,Very happy,Other,Not legal,Don't know,Too little,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,$25000 or more,Female,Bachelor,54,Married,Ballot c
2010,Not applicable,Pretty happy,Protestant,Not legal,Too harsh,About right,Not applicable,Not applicable,Conservative,Independent,Middle atlantic,$20000 - 24999,Female,High school,21,Never married,Ballot b
2010,Not applicable,Pretty happy,None,Not applicable,Too harsh,Too little,Too little,Too little,Slghtly conservative,Democrat,Middle atlantic,$25000 or more,Female,Bachelor,26,Never married,Ballot a
2010,Not applicable,Very happy,Protestant,Not legal,Not harsh enough,About right,Too little,Too little,Moderate,Independent,Middle atlantic,$25000 or more,Male,Bachelor,31,Never married,Ballot b
2010,Not applicable,Very happy,Catholic,Not legal,Not harsh enough,Too much,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,Lt $1000,Female,Junior college,41,Never married,Ballot b
2010,Not applicable,Very happy,Catholic,Not legal,About right,About right,About right,About right,Don't know,Independent,Middle atlantic,Don't know,Female,Lt high school,84,Widowed,Ballot b
2010,The internet,Pretty happy,Catholic,Not legal,Not harsh enough,About right,Too little,About right,Moderate,No answer,Middle atlantic,Refused,Male,High school,19,Never married,Ballot c
2010,Not applicable,Very happy,Jewish,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Other,Middle atlantic,Refused,Male,Bachelor,34,Married,Ballot a
2010,The internet,Very happy,Catholic,Not legal,Not harsh enough,Too little,About right,About right,Conservative,Republican,Middle atlantic,$25000 or more,Female,Bachelor,44,Married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Legal,Not harsh enough,Too little,Too little,Too little,Slghtly conservative,Independent,Middle atlantic,$25000 or more,Male,High school,45,Married,Ballot b
2010,Not applicable,Very happy,Protestant,Not legal,About right,About right,Not applicable,Not applicable,Moderate,Democrat,Middle atlantic,Lt $1000,Male,High school,28,Never married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,About right,Too little,Moderate,Independent,Middle atlantic,$15000 - 19999,Male,High school,46,Married,Ballot b
2010,Not applicable,Not too happy,Catholic,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Liberal,Democrat,Middle atlantic,$25000 or more,Female,High school,50,Divorced,Ballot b
2010,The internet,Pretty happy,Catholic,Legal,Not harsh enough,Too little,Too much,Too little,Conservative,Republican,Middle atlantic,$25000 or more,Male,High school,40,Married,Ballot c
2010,Not applicable,Very happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Liberal,Independent,Middle atlantic,$25000 or more,Female,Graduate,42,Married,Ballot c
2010,Tv,Pretty happy,Catholic,Not legal,About right,About right,About right,About right,Don't know,Independent,Middle atlantic,Don't know,Female,Lt high school,19,Never married,Ballot c
2010,Not applicable,Pretty happy,None,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,$25000 or more,Male,Junior college,53,Divorced,Ballot a
2010,Not applicable,Pretty happy,Catholic,Legal,Too harsh,Too little,Too little,Don't know,Slghtly conservative,Democrat,Middle atlantic,$25000 or more,Female,Junior college,39,Divorced,Ballot b
2010,Not applicable,Not too happy,Protestant,Not applicable,Not harsh enough,About right,Too little,About right,Conservative,Republican,Middle atlantic,$25000 or more,Female,Bachelor,40,Divorced,Ballot a
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Liberal,Independent,Middle atlantic,$25000 or more,Female,High school,44,Married,Ballot a
2010,Not applicable,Not too happy,Protestant,Not applicable,Not harsh enough,Too little,About right,Too little,Conservative,Republican,Middle atlantic,$25000 or more,Male,High school,58,Married,Ballot a
2010,Not applicable,Not too happy,Catholic,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,$25000 or more,Male,Junior college,46,Married,Ballot b
2010,Newspapers,Not too happy,Catholic,Not legal,Not harsh enough,Too little,Too little,Too little,Conservative,Independent,Middle atlantic,$25000 or more,Female,High school,66,Divorced,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Democrat,Middle atlantic,$25000 or more,Female,Graduate,48,Never married,Ballot a
2010,Not applicable,Pretty happy,Protestant,Not legal,Not harsh enough,Too little,About right,Too much,Moderate,Republican,Middle atlantic,$25000 or more,Male,High school,88,Married,Ballot b
2010,Not applicable,Very happy,Catholic,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,$25000 or more,Female,Junior college,45,Married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,About right,Don't know,About right,About right,Moderate,Republican,Middle atlantic,Don't know,Male,High school,38,Never married,Ballot a
2010,Not applicable,Pretty happy,Protestant,Don't know,About right,About right,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,$10000 - 14999,Female,High school,22,Never married,Ballot b
2010,The internet,Pretty happy,Catholic,Not legal,Not harsh enough,About right,Too little,Too much,Slightly liberal,Independent,Middle atlantic,$25000 or more,Male,Bachelor,23,Never married,Ballot c
2010,Not applicable,Very happy,Catholic,Not applicable,Not harsh enough,Don't know,Not applicable,Not applicable,Slightly liberal,Democrat,Middle atlantic,$25000 or more,Female,Bachelor,41,Never married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,About right,Not applicable,Not applicable,Moderate,Independent,Middle atlantic,$15000 - 19999,Female,High school,23,Never married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,About right,Too little,About right,Moderate,Republican,Middle atlantic,$25000 or more,Male,High school,60,Married,Ballot a
2010,Not applicable,Very happy,Catholic,Legal,Too harsh,Too little,Not applicable,Not applicable,Slghtly conservative,Independent,Middle atlantic,$25000 or more,Female,Lt high school,80,Married,Ballot b
2010,Newspapers,Pretty happy,Catholic,Not legal,Not harsh enough,About right,Too little,Too much,Moderate,Independent,Middle atlantic,$25000 or more,Female,Lt high school,56,Married,Ballot c
2010,Not applicable,Don't know,Protestant,Not applicable,Too harsh,Too little,Not applicable,Not applicable,Moderate,Democrat,Middle atlantic,Don't know,Female,Bachelor,43,Married,Ballot a
2010,Not applicable,Not too happy,Protestant,Don't know,Don't know,Too little,Too little,Too little,Don't know,Democrat,Middle atlantic,Refused,Female,Bachelor,31,Never married,Ballot b
2010,Not applicable,Not too happy,Catholic,Not legal,Not harsh enough,Don't know,Not applicable,Not applicable,Don't know,Democrat,Middle atlantic,Lt $1000,Female,Lt high school,24,Never married,Ballot c
2010,Not applicable,Very happy,Protestant,Not applicable,Too harsh,Too little,Too little,Too little,Moderate,Democrat,Middle atlantic,$25000 or more,Female,Junior college,39,Married,Ballot a
2010,Not applicable,Not too happy,Protestant,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Liberal,Independent,Middle atlantic,$1000 to 2999,Male,Lt high school,20,Never married,Ballot b
2010,The internet,Pretty happy,Protestant,Not legal,Too harsh,Too little,Too little,Too much,Moderate,Independent,Middle atlantic,$25000 or more,Male,Bachelor,55,Married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Liberal,Democrat,Middle atlantic,Refused,Female,High school,45,Married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Don't know,Not harsh enough,Too little,Not applicable,Not applicable,Don't know,Independent,Middle atlantic,Refused,Male,High school,50,Married,Ballot c
2010,Not applicable,Very happy,Catholic,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Republican,Middle atlantic,$25000 or more,Female,Graduate,69,Married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not legal,About right,About right,Not applicable,Not applicable,Slghtly conservative,Democrat,Middle atlantic,$25000 or more,Female,Bachelor,50,Widowed,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,Too harsh,Too little,Too little,About right,Moderate,Independent,Middle atlantic,$1000 to 2999,Male,High school,31,Married,Ballot a
2010,Not applicable,Very happy,Catholic,Not legal,Don't know,Don't know,Not applicable,Not applicable,Slghtly conservative,Independent,Middle atlantic,$25000 or more,Female,High school,59,Married,Ballot b
2010,Not applicable,Not too happy,Catholic,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Democrat,Middle atlantic,$25000 or more,Female,High school,50,Never married,Ballot a
2010,Not applicable,Very happy,Protestant,Not legal,About right,Too little,Too little,Too little,Moderate,Republican,Middle atlantic,$25000 or more,Male,Bachelor,51,Married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too little,Too little,Too little,Moderate,Republican,Middle atlantic,$25000 or more,Female,High school,68,Widowed,Ballot a
2010,Not applicable,Pretty happy,Jewish,Not applicable,Don't know,Too little,Too little,Too little,Extremely liberal,Independent,Middle atlantic,$25000 or more,Male,Graduate,61,Separated,Ballot a
2010,Not applicable,Very happy,Jewish,Not applicable,About right,About right,Not applicable,Not applicable,Moderate,Democrat,Middle atlantic,Refused,Female,Bachelor,50,Married,Ballot a
2010,Not applicable,Pretty happy,Jewish,Not applicable,Not harsh enough,Too little,Too little,Too little,Moderate,Republican,Middle atlantic,$25000 or more,Female,Bachelor,51,Married,Ballot a
2010,Not applicable,Very happy,None,Not applicable,Not harsh enough,Too little,Too little,Too little,Liberal,Independent,Middle atlantic,$25000 or more,Female,Graduate,43,Married,Ballot a
2010,Not applicable,Pretty happy,None,Legal,Not harsh enough,Too much,About right,Too little,Moderate,Republican,Middle atlantic,$25000 or more,Male,Lt high school,19,Never married,Ballot b
2010,Not applicable,Not too happy,Catholic,Not legal,Not harsh enough,About right,Not applicable,Not applicable,Slightly liberal,Independent,Middle atlantic,$25000 or more,Female,Bachelor,35,Married,Ballot c
2010,Newspapers,Pretty happy,Jewish,Don't know,Not harsh enough,Too little,Too little,Too little,Liberal,Independent,Middle atlantic,$25000 or more,Male,Graduate,64,Married,Ballot c
2010,Not applicable,Not too happy,Catholic,Don't know,Not harsh enough,Too little,Too little,Too little,Conservative,Republican,Middle atlantic,Refused,Female,High school,44,Divorced,Ballot b
2010,The internet,Very happy,Catholic,Not legal,Not harsh enough,Too little,About right,Too little,Slghtly conservative,Republican,Middle atlantic,$25000 or more,Male,Graduate,40,Never married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too much,Not applicable,Not applicable,Conservative,Republican,Middle atlantic,$25000 or more,Male,Bachelor,59,Never married,Ballot a
2010,Not applicable,Very happy,Catholic,Not legal,Not harsh enough,Too little,Too little,About right,Conservative,Republican,Middle atlantic,$25000 or more,Male,Bachelor,36,Married,Ballot b
2010,Not applicable,Very happy,Protestant,Legal,About right,Too little,Not applicable,Not applicable,Extremely liberal,Independent,Middle atlantic,Refused,Female,High school,65,Divorced,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Conservative,Republican,Middle atlantic,Refused,Female,Graduate,46,Never married,Ballot b
2010,Not applicable,Very happy,Catholic,Not applicable,Not harsh enough,Don't know,Not applicable,Not applicable,Moderate,Republican,Pacific,$15000 - 19999,Female,High school,33,Married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Legal,Not harsh enough,About right,About right,About right,Slightly liberal,Democrat,Pacific,$20000 - 24999,Female,Lt high school,21,Never married,Ballot b
2010,Not applicable,Very happy,Protestant,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Extrmly conservative,Republican,Pacific,$25000 or more,Female,High school,24,Never married,Ballot b
2010,Tv,Pretty happy,Catholic,Not legal,Too harsh,About right,About right,About right,Liberal,Independent,Pacific,$25000 or more,Male,Lt high school,36,Married,Ballot c
2010,Not applicable,Very happy,None,Not applicable,Too harsh,Don't know,Not applicable,Not applicable,Slghtly conservative,Independent,Pacific,$20000 - 24999,Female,Junior college,27,Divorced,Ballot a
2010,Not applicable,Very happy,Protestant,Legal,About right,About right,Not applicable,Not applicable,Slightly liberal,Democrat,Pacific,$25000 or more,Female,High school,32,Married,Ballot c
2010,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too little,Too little,Too little,Slghtly conservative,Independent,Pacific,Refused,Male,High school,68,Divorced,Ballot a
2010,Books other printed material,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Too little,Too little,Liberal,Republican,Pacific,$25000 or more,Male,High school,63,Married,Ballot c
2010,Not applicable,Pretty happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Independent,Pacific,Refused,Female,Bachelor,80,Married,Ballot b
2010,Not applicable,Very happy,Catholic,Not applicable,About right,About right,About right,Too little,Moderate,Democrat,Pacific,$25000 or more,Male,Bachelor,72,Married,Ballot a
2010,Not applicable,Very happy,Protestant,Not legal,Too harsh,Too little,About right,Too little,Conservative,Independent,Pacific,$25000 or more,Male,Lt high school,24,Married,Ballot b
2010,Not applicable,Pretty happy,Moslem/islam,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Independent,Pacific,Don't know,Female,Bachelor,37,Married,Ballot c
2010,Not applicable,Not too happy,Protestant,Not applicable,Not harsh enough,Too little,Too little,Too little,Moderate,Independent,Pacific,$25000 or more,Male,Lt high school,45,Married,Ballot a
2010,Not applicable,Not too happy,Protestant,Not legal,Too harsh,About right,Not applicable,Not applicable,Conservative,Independent,Pacific,$25000 or more,Male,Lt high school,52,Separated,Ballot b
2010,Not applicable,Not too happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,Pacific,$25000 or more,Male,Graduate,49,Married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Legal,Not harsh enough,About right,Not applicable,Not applicable,Slghtly conservative,Democrat,Pacific,$25000 or more,Male,Lt high school,42,Married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Don't know,Not harsh enough,About right,Don't know,Don't know,Moderate,Democrat,Pacific,$20000 - 24999,Male,Lt high school,42,Separated,Ballot b
2010,Not applicable,Pretty happy,Christian,Legal,About right,Too little,Not applicable,Not applicable,Conservative,Other,Pacific,$25000 or more,Female,High school,37,Married,Ballot c
2010,Not applicable,Pretty happy,Christian,Not applicable,Not harsh enough,Too little,Too little,Too little,Extremely liberal,Democrat,Pacific,$25000 or more,Female,High school,35,Married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Don't know,Not applicable,Not applicable,Conservative,Republican,Pacific,$25000 or more,Male,High school,51,Married,Ballot c
2010,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too little,About right,Don't know,Slghtly conservative,Republican,Pacific,$25000 or more,Male,Graduate,66,Married,Ballot a
2010,Not applicable,Very happy,Protestant,Not applicable,Not harsh enough,Too much,Not applicable,Not applicable,Conservative,Republican,Pacific,$25000 or more,Male,High school,28,Married,Ballot a
2010,Not applicable,Pretty happy,Protestant,Don't know,Not harsh enough,Don't know,Too little,Don't know,Moderate,Independent,Pacific,$25000 or more,Female,High school,39,Married,Ballot b
2010,Not applicable,Very happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Extremely liberal,Independent,Pacific,$25000 or more,Male,High school,47,Married,Ballot c
2010,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too little,Too little,About right,Slghtly conservative,Republican,Pacific,$25000 or more,Male,Bachelor,48,Married,Ballot a
2010,Not applicable,Pretty happy,None,Legal,About right,Too little,Not applicable,Not applicable,Slghtly conservative,Independent,Pacific,$25000 or more,Female,Graduate,49,Married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Too little,Too little,Extremely liberal,Democrat,Pacific,$25000 or more,Male,High school,20,Never married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,Pacific,$15000 - 19999,Female,Lt high school,70,Married,Ballot b
2010,Not applicable,Very happy,Catholic,Not legal,Too harsh,Too little,Too little,About right,Slightly liberal,Independent,Pacific,Don't know,Male,Lt high school,42,Never married,Ballot b
2010,Not applicable,Pretty happy,Catholic,Not applicable,Too harsh,About right,About right,Too much,Extrmly conservative,Independent,Pacific,$10000 - 14999,Male,Lt high school,35,Never married,Ballot a
2010,Tv,Pretty happy,None,Legal,Don't know,Don't know,Too little,Don't know,Moderate,Independent,Pacific,$25000 or more,Female,High school,40,Never married,Ballot c
2010,Not applicable,Not too happy,None,Not applicable,Don't know,Too little,Not applicable,Not applicable,Slightly liberal,Independent,Pacific,$25000 or more,Male,Graduate,68,Married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Slghtly conservative,Republican,Pacific,Refused,Male,Bachelor,34,Married,Ballot c
2010,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too much,Too little,Too much,Liberal,Independent,Pacific,$25000 or more,Male,High school,30,Married,Ballot a
2010,Not applicable,Pretty happy,Catholic,Don't know,Not harsh enough,Too little,Too little,Too little,Moderate,Democrat,Pacific,$25000 or more,Male,Lt high school,25,Never married,Ballot b
